"UID","SCORE","CLASS"
"85ab231a-5ce5-4eb3-9473-7ec78e4ec4b7","572.0",STANDARD
"87bcb71c-5c95-47b8-ac79-f4f315474509","641.0",STANDARD
"65510d85-5fc7-4545-aad9-fa213141d140","532.0",STANDARD
"760be26f-6cdf-4706-a31a-f68da8d52341","661.0",PREMIUM
cdec78d4-a8ad-44c8-96ff-8c9ae162e8f2,"603.0",STANDARD
"1437dbbf-cd80-48a4-b72e-ba03b6355d7b","549.0",STANDARD
a1079e4c-bc50-4fbd-92df-df42d4eaf7f8,"574.0",PREMIUM
"966e97d3-64ba-42fd-9ca7-6423ea07ead5","550.0",STANDARD
aa9b7fa2-d7ef-4040-91d7-aa1daa236271,"661.0",PREMIUM
c5782f5a-4927-4017-8db4-cbc54f0ca741,"517.0",STANDARD
"702a3507-5754-49d7-8e25-6a12d63ff5d7","548.0",STANDARD
b516efa1-072b-42d8-82e8-bfd2f48facc4,"579.0",STANDARD
"97bfbc31-fa1c-41e7-8569-815d5083e9c6","539.0",STANDARD
"7d751590-95d3-4ebb-b50b-68c8eed22528","682.0",PREMIUM
db4c2f68-4e1d-4034-8621-54545d9aaf70,"492.0",STANDARD
a7d6985a-f6cb-4784-864e-18a362295d70,"543.0",STANDARD
"917fccd4-6e34-4475-960b-6a6be7f9f799","543.0",STANDARD
f94e5172-c8b5-472e-bd19-33a2325127c2,"578.0",PREMIUM
c268641d-3b1a-404d-bb5f-6c0bb841a948,"624.0",STANDARD
ce373c03-e042-4744-b74c-0382e08d3592,"528.0",STANDARD
c5e561e2-51c0-495e-b041-c2b0480813b3,"632.0",PREMIUM
"95274808-b723-45fe-8449-36dbdf28d327","627.0",STANDARD
d7cb5025-67e6-43c6-a24e-c6cd7d6b3c1a,"582.0",PREMIUM
fd0a5f96-51a7-4f63-930d-7b0d535da31d,"667.0",STANDARD
c8859747-4b5e-4c06-80aa-3dc6055ae813,"669.0",PREMIUM
a624433c-9723-4f71-aad1-d228897a23f7,"664.0",STANDARD
"6b054740-7f2a-4067-b475-86851d63ed93","538.0",STANDARD
c7734d6f-3167-413d-9abc-b66bd6d32e53,"584.0",STANDARD
b0fb41de-0b9f-4c8d-8d66-2982dce0f453,"527.0",PREMIUM
"49cf212c-f1e9-43bc-a85f-ee4770915001","630.0",STANDARD
"27cca37f-7112-454b-ac67-cdcc01382ccb","699.0",STANDARD
f18fe31b-f8d6-4540-b5ac-67e6a3a64f29,"677.0",STANDARD
"33400c17-4e5d-488d-8c33-3994e0a73bdf","515.0",STANDARD
"91f21e75-90a8-4f24-9cef-4f20f4cd6c92","677.0",PREMIUM
e8643ad0-254e-44c2-b6e6-f646db69e62b,"547.0",STANDARD
ffc73bfc-0285-454d-9088-a079b60965ef,"540.0",STANDARD
e3726dcb-59d2-40a7-b50d-84bcdebb4791,"714.0",STANDARD
"66dec38b-d000-4dd2-86d1-f7c21f1f7df5","678.0",STANDARD
"8f359585-e9ae-4b90-beb8-e0e1850cffa1","595.0",PREMIUM
f21d5604-3ef5-4614-b107-a12bc9278587,"610.0",STANDARD
c069cb32-73f9-41c9-bf72-204c15ec21da,"699.0",PREMIUM
"57312cd9-f5ff-4a9b-b663-b500a70009a6","565.0",STANDARD
f44e7ec7-da74-4e8f-b900-f496ff30522a,"544.0",PREMIUM
df4a8487-ca46-4bbc-bc05-717b2ba8aa54,"549.0",STANDARD
f922c944-44b2-49e6-95c6-72aaff185cf4,"698.0",PREMIUM
c57b0be8-78e0-4171-bb52-6ed3868a0fd5,"684.0",STANDARD
ae6f644b-329a-40fb-8b4d-5203f4a283b4,"565.0",PREMIUM
"020f5f14-3609-4c8d-9a25-6ed720b64c85","547.0",STANDARD
"458e53f2-60c5-40e7-8c4b-e582ac88e273","578.0",STANDARD
af46ef85-6edb-4031-ac3a-221b32eb984a,"528.0",PREMIUM
bb491c21-2c07-47e1-9f5d-55cea65210fd,"625.0",STANDARD
"894591bf-8862-4870-a8ea-af4c63709e96","591.0",PREMIUM
f8e350e8-ecb0-41a6-a316-178eacb3cb97,"646.0",STANDARD
"73c70267-b2ad-4350-a747-a63632a6172d","573.0",STANDARD
b13d2ac2-9488-47f6-bb75-bcfd7803f050,"543.0",STANDARD
"25717734-ab2c-45c4-9f88-8eb75cd4c864","575.0",PREMIUM
bfdc9026-50bf-49e2-8735-3ad064a2df7b,"557.0",STANDARD
"913d211e-73d4-4520-91f1-e56cfca2e214","557.0",PREMIUM
"4bb45307-f419-46de-a50b-a16dce71cd23","484.0",PREMIUM
"03dcc753-94c4-416d-a5a6-bfcb093546ce","546.0",PREMIUM
c59cda5c-d9c0-4164-8f24-17bcb256c596,"594.0",PREMIUM
"31dca1ee-5857-43bc-9418-eddb989d417f","677.0",PREMIUM
"89f609c2-efec-4e7a-85b2-6b5de684cffd","553.0",STANDARD
ab1c3263-c372-402b-9bd5-0b5b9492e7cd,"593.0",PREMIUM
"1d83dcf5-b990-420d-b3b1-28d2a9404308","569.0",PREMIUM
bf035b77-a122-4559-9b84-9644c43ac7d4,"602.0",STANDARD
a224a566-6d4f-46b8-a4c8-c6f6a31020e2,"562.0",PREMIUM
c3b1b74f-7fff-4583-bbf6-44d1ef8d94ea,"533.0",STANDARD
ecc30391-ab09-4e5b-8735-d87839836212,"535.0",STANDARD
"7e3c13ed-a9bb-4878-b46f-63aa6fc48695","628.0",STANDARD
f59fe9cb-5c3a-4020-bdb9-b52a21f6d64a,"544.0",STANDARD
f0f8aa6d-8978-4641-be54-a87a3b70d9fb,"519.0",PREMIUM
"86870711-d65a-41e6-acfa-5693e537ac22","602.0",STANDARD
"4babd82d-f052-48c8-b9f4-d5ef7e67174f","570.0",PREMIUM
"0bd57b6e-196d-49ec-aa4f-6f14ce438ad9","540.0",STANDARD
cf73ed69-0276-4b02-9d5b-3b7383d63fec,"588.0",PREMIUM
"08de91b8-d5ea-4514-a84a-770198e67db8","662.0",STANDARD
"24661101-760a-4d05-84d3-f05180e3bcec","574.0",PREMIUM
"0e61a8df-b0b9-428b-9d31-63053623e40c","664.0",STANDARD
"1a7470c0-1f24-477a-980b-8554d84e4ee9","520.0",PREMIUM
"2c37a20b-8385-452f-a814-6798dee7c1fc","547.0",STANDARD
db7b52da-2e9f-484a-9fb5-abe195354e4c,"516.0",PREMIUM
"38d26f10-819b-4351-bda0-505ff747f637","689.0",PREMIUM
"8568f085-b230-4326-a746-5f70592650a8","597.0",STANDARD
"9a4c9ff1-17b6-486c-89dc-41b22519222b","512.0",PREMIUM
"2c508af5-a83d-4bdd-a760-d5745ca2f938","541.0",STANDARD
"747f8125-9627-411e-8dff-6cf96098991a","670.0",PREMIUM
"17b085bd-1339-44a4-90ef-8c9900eaff83","591.0",PREMIUM
"600d74f8-388c-4348-9a05-d91fcd7f3e23","665.0",STANDARD
af5f19bf-5822-481e-948e-9ec4e3fd222e,"602.0",STANDARD
"03c6042e-eaf0-44e3-bf9e-cd8511de4e93","712.0",STANDARD
ae5fd73f-efe8-4003-b879-aca628a72814,"551.0",PREMIUM
effec9c4-df0f-44ab-89a3-0f6a33c9a1c4,"569.0",STANDARD
d11152af-43f5-4387-988d-b47be4658e43,"542.0",STANDARD
"6b060fa1-008a-4925-93d2-2391a73d619a","569.0",STANDARD
"4e503988-a4c0-4ac8-b26c-b07a711b7a29","685.0",STANDARD
"2a96cf41-46d7-4c26-83c7-1bd0bf5472fb","567.0",PREMIUM
b81d00bc-5163-4828-bfdf-40ff32933433,"521.0",PREMIUM
dbb1f413-f769-4f17-b681-3eaf531db898,"535.0",STANDARD
"00ff85b6-a7f7-4888-9e4e-fe6e6ef4f3e0","517.0",PREMIUM
"6e1300bd-7a48-4c22-880d-68e7b147f515","515.0",STANDARD
c35ea2ec-d72f-4f22-aa0c-0b2c8e216bac,"550.0",STANDARD
"6deea4ab-0955-42a2-83a9-825cc87d8ee7","529.0",STANDARD
aa831d83-5c6a-4f53-988b-b1cb4ccd08d3,"554.0",PREMIUM
"6ce99d24-fd64-4d8e-b7fe-0e1a17c1e5c1","611.0",PREMIUM
"1ae86db2-e376-4d60-909a-53d77159e619","511.0",PREMIUM
"9e9be18b-e257-4e26-8656-31faa6f4e0ca","669.0",STANDARD
"1661eeca-5be1-40be-ac3d-30b6027e71cc","522.0",STANDARD
a4f5f02c-492f-46e8-a80f-71c625093e0c,"508.0",STANDARD
c84448f0-ee74-4197-9080-11d8e3cd30ce,"577.0",STANDARD
c5063054-f40f-4cbf-a549-a24bb4d41a59,"583.0",PREMIUM
d7425b52-2bd8-4281-80d9-5eeae10b944c,"518.0",STANDARD
"2d1eb1c5-4ebc-4be8-84f4-a9a7a8c4ecec","633.0",STANDARD
a9a1acea-f7ea-4e2d-91d7-d8909a89a981,"537.0",STANDARD
"32059f4e-bf43-4a53-82f1-94ad30fa9353","595.0",STANDARD
"1b5dc878-df00-49ca-b40b-2f7efbdf8de7","687.0",STANDARD
"696f8eff-2222-4f78-8188-d8a5978e617d","542.0",PREMIUM
a38ff935-7603-44a2-aeb9-08c1bddc7a15,"529.0",STANDARD
"3f69a375-1e4b-4c66-ba6b-fe8ff5eebb15","523.0",PREMIUM
"81862493-0da9-4afc-af34-bcb1cff941f0","660.0",STANDARD
"4a39ed1b-7bc9-4bce-b074-c5dab2baac97","598.0",STANDARD
dc7fd451-ac06-4ef1-a47d-c8e9ab94b0bc,"666.0",STANDARD
"0f1cc66a-acef-4ab2-b1e9-f288e21a8809","553.0",STANDARD
"2767fa3e-4c92-465f-80e5-abdd16fe805d","518.0",STANDARD
"063ea4cb-4151-4694-b949-8063e31106cf","492.0",PREMIUM
d64ad193-637e-4f3c-9bb2-9a53bfc52fe2,"643.0",STANDARD
"57445bae-caf5-43e8-8cb3-c03e8fb588c6","551.0",PREMIUM
e3c38e1d-fca3-4998-8a2c-b80dacb5d1e7,"635.0",STANDARD
b46f916d-6c7e-416a-b28c-84e13aa251dc,"564.0",PREMIUM
"7f6a7d54-6bea-4103-9eb5-5b66dc5c6fe6","600.0",PREMIUM
c8f4cb3a-320b-4f1a-a1c9-8a3a44ff9e5c,"559.0",STANDARD
"795f9bcc-88a1-4102-be9a-1b19a9c6d20c","525.0",PREMIUM
"84f67c2b-96c1-4f0c-8368-f5a1e4fc83ca","553.0",PREMIUM
d53fa973-3c41-4308-9672-6d9412c4a94b,"598.0",STANDARD
"6ab56537-4977-4d74-9772-01936a3a567f","651.0",PREMIUM
"930533af-78d3-44f2-8bf7-ff5b3158219f","671.0",STANDARD
b8cd24d4-b7b2-4bfc-8698-1024ae6f89b7,"552.0",STANDARD
c261e471-afb1-4fc9-afc4-f48d5c4b5cc1,"631.0",STANDARD
"3fc58dba-6251-4dfd-ac7c-8c0b974f1ba0","535.0",PREMIUM
"8930e9e7-1c21-4a9f-b5e8-542a7a8e1c7b","697.0",STANDARD
"8cdf96e6-f845-4544-93f7-3cdfb6421f35","561.0",PREMIUM
c5a96ee7-b099-457c-8c4f-4e70e15b2d75,"547.0",STANDARD
"276ff056-fb6d-43e9-823f-a8799a56eacd","566.0",STANDARD
f93c4f10-f037-4bb1-8e2c-39fd6f9d8bb7,"585.0",PREMIUM
"99c44a03-b73a-4ccc-80b1-77bb80b79f5f","564.0",STANDARD
bd3c5260-b0fc-4a30-9b22-ac419535baa4,"506.0",STANDARD
"62acba46-3aed-4351-b14b-992c3e129c9c","642.0",STANDARD
cff42d8c-bb85-40e6-8f10-84f33e5356c2,"631.0",STANDARD
"42d7c62a-9a0c-46b5-ae51-8fee3ed43f07","548.0",PREMIUM
daac55e6-68b9-4d7d-ae11-0c3296ffc4a9,"499.0",PREMIUM
e29eb1f8-7bea-4e77-ad98-8c6e399f68d1,"629.0",PREMIUM
f8fb1077-faaf-4c6c-88f3-e110b15227f9,"529.0",STANDARD
"9bf289ac-3708-4449-be0f-cdb887608544","645.0",STANDARD
"0558abe0-b44a-4ced-b85d-03696f15b6a4","532.0",PREMIUM
cb07836e-b893-4400-a6aa-9d870e54226c,"637.0",STANDARD
"1e907684-d8f2-4726-ad63-47961b4d182f","673.0",STANDARD
"11f84489-858e-4620-b85d-776700cd2bff","525.0",STANDARD
"550d0162-670e-4e7c-8681-7a4fe14a95c6","695.0",PREMIUM
c55a5cee-8ac6-4e94-ab68-6ceabf0aff50,"554.0",STANDARD
"7259af20-4cb4-400e-b4b7-ecdf944b0006","562.0",STANDARD
f84a43f7-d98d-4ba4-8624-1ddb1699fec7,"533.0",PREMIUM
"56f41d44-9b93-466d-bfa2-b10bd2eb91ab","689.0",PREMIUM
"202a0fb8-bed6-40c8-823b-a5eb91315f3f","504.0",STANDARD
f095ace8-c2f6-4aee-bf19-584c7b580080,"509.0",PREMIUM
"807ff588-c818-4c72-8b93-c74dc623c696","717.0",STANDARD
"76ec9326-a759-46d7-8b06-274ad9973b4f","658.0",PREMIUM
"7c87f31a-89ef-4ef2-a9c9-f64cce6b0ad7","533.0",STANDARD
"86b84a9e-0acf-4045-805a-b83bf8a16d3a","698.0",STANDARD
c97ec3cf-e065-41c0-a431-02361ef180bf,"675.0",STANDARD
"68b61a96-9a30-4c74-84d8-c1e4731ad6a8","526.0",PREMIUM
dc760a62-7fe7-4698-bd4f-021cfd2fdafc,"514.0",STANDARD
f1b6ffe2-4f5f-4ffe-a03f-6cf188a8a5b6,"529.0",STANDARD
"35ec4a8e-7fcc-48cf-b474-7a0a9a9a802c","624.0",STANDARD
"63c5ef38-0adb-4a7c-a570-4a117ce3c827","646.0",PREMIUM
"1f76eba1-09a9-4f0e-b8a7-1ad6c753b95b","489.0",STANDARD
c334a058-595f-402e-aec7-7a3b4ffd4518,"563.0",PREMIUM
"73c9969e-2749-4df4-a892-ca7308dcce42","611.0",STANDARD
"72c8f865-2035-4af1-8167-711cd78c5ecd","577.0",STANDARD
"253238b4-2f43-4c28-9c46-fed7cfba441c","543.0",STANDARD
e260c63d-8037-46e0-a5ea-1a9caa0a9af5,"589.0",STANDARD
a0c5ff80-58f4-49c8-9ad0-95cff98196e7,"614.0",STANDARD
e9ad5a67-9f2d-4685-9dc7-c918784e3bbe,"605.0",STANDARD
"7f89d1cb-2f92-4b7a-8005-52ed65e88431","649.0",PREMIUM
c1ae6bf6-c7eb-4a5e-be6a-0272e4cc898c,"517.0",PREMIUM
b489d23e-8d1b-4390-9a69-41fea643f0c9,"713.0",PREMIUM
"4a804a0f-a31a-4bed-95ce-20c3136d1fa9","603.0",PREMIUM
"7df70269-b17c-4ba3-930a-152ffd5cf630","688.0",PREMIUM
"657dc509-d8c5-402f-8579-cde15a1d7765","712.0",STANDARD
"29b67c5d-80b9-46f7-8833-182fd85bd116","554.0",PREMIUM
"975febc3-1eef-472a-9906-dfed49ab7a20","622.0",STANDARD
"8c1b6dc7-ddae-4ee3-9d91-2e770b89a9ab","664.0",STANDARD
"6ed8f63a-3f9d-45f3-89fd-91544001b39b","618.0",PREMIUM
"75ffc6df-1ab9-4ad5-99f3-707c40fbaf75","540.0",STANDARD
"004dc24c-8a5f-4422-9607-41353fbcf95e","501.0",STANDARD
fd45d58c-1b37-4d69-886b-8b7a7f97f7da,"547.0",STANDARD
"9afe1348-a16b-4768-9b7a-e1235b23045b","639.0",STANDARD
"1296f334-27f5-4c96-9c75-d300d69502eb","574.0",STANDARD
"660231ca-3cbb-4de4-a1da-953bbec35104","685.0",STANDARD
"68f5a114-c38e-4f01-9d7b-0f64e782285b","677.0",STANDARD
defbc367-ff04-4a8c-b934-776a05867416,"560.0",STANDARD
d772d22f-05d0-43ec-82b2-52d12632a18f,"537.0",STANDARD
db05816b-4eff-45d0-b45d-f50360dc61bd,"517.0",STANDARD
"7ceb3867-42aa-4540-95ed-3d02ddb78a06","563.0",PREMIUM
e77ef861-377a-4dcc-bada-03a815af61b4,"511.0",PREMIUM
"6a8d998c-61bc-4641-9334-658995ea9792","685.0",STANDARD
"3cfefaad-c4e0-4575-827a-837a8c527737","530.0",STANDARD
"682ec03e-7ebc-4de5-8746-61ac6bb1e0e1","697.0",PREMIUM
"969556a5-6fbc-4d49-925b-3feafd9bf283","559.0",STANDARD
"0bea6837-cf2f-42f8-a38d-c3127dbf291e","538.0",STANDARD
"0d07a833-f5e0-4ae3-8f5f-42ee06b414de","543.0",STANDARD
beccb180-186e-477a-9b2e-42c17738fb44,"557.0",STANDARD
e9e2a3c5-0a2a-4f76-8096-dd283693c06a,"554.0",STANDARD
c3df6c56-a163-4fb0-870c-e3bb8daca107,"604.0",PREMIUM
"416e099a-9bf2-4218-b8fb-617cbfe7a271","674.0",STANDARD
"3b5d8d2f-8432-47e6-9a89-94223040b053","592.0",STANDARD
"6ffec1a7-4b11-4cb5-be37-31cb0bcff669","499.0",STANDARD
"34aa8027-36b0-424a-b09b-04abd9d38614","637.0",STANDARD
"30d1830e-1fc5-42c6-a3f6-f419ba283fe0","651.0",PREMIUM
"4f57ff83-1fae-4801-94fc-0828885a0be9","702.0",PREMIUM
a6680284-b84e-4b82-923a-b5cdc24e7ef1,"582.0",STANDARD
"933674a1-3f35-4142-bce4-fe0038a413b5","551.0",STANDARD
"7888b30d-a5dc-48a2-9ec7-1f15a07dcec8","630.0",STANDARD
"4a14b31c-e6b8-4c5e-b12a-348de3f7d7a2","587.0",STANDARD
"2dc76f77-754d-48c4-b1f6-9eba88354a33","517.0",PREMIUM
"2b20f6e4-1f85-47aa-8fd4-049741ae09a5","705.0",PREMIUM
aa37d68a-e316-4377-92ed-3e80bf2576bb,"595.0",STANDARD
"7f1705a8-b9c8-4dbd-a9dc-f5653ebac081","636.0",PREMIUM
"0f751e51-ab28-408b-afc0-9136f6dd7db3","500.0",STANDARD
"7a5019a0-e1ac-4a2c-8334-7cb76b8f856d","706.0",STANDARD
e33bfdd1-effd-40a0-aab1-5c4ce52bfff3,"604.0",PREMIUM
"1c0b62d9-0f08-4fe9-a500-def682de9cb0","656.0",PREMIUM
"163b55e0-6472-46a3-b9fc-027bb7fece2d","662.0",STANDARD
"259280de-2dab-458c-8d08-9fe55ad24599","619.0",PREMIUM
"1df7545c-256d-4f91-8fa6-bd92f9320ab9","658.0",STANDARD
cc01a094-5de8-4600-a6b5-023b2f9cda33,"662.0",STANDARD
"563b7924-8f2a-4c19-9665-6cb077894808","618.0",STANDARD
dd9659f5-d52d-4849-9d92-62ad5be1668b,"525.0",STANDARD
"11af8845-d283-4571-aea0-deedc1223651","668.0",PREMIUM
"7bb66ca1-46a0-4ab1-83a7-e751e0df2d75","561.0",STANDARD
"46dd0fa6-47a7-4392-83de-06804b376414","597.0",STANDARD
acdacd31-eb69-4d39-9541-27173e8fcd50,"503.0",STANDARD
"06bb28db-70e8-47f9-bd63-c2b45ef98114","709.0",STANDARD
"3b581807-0ec9-4f9d-9109-2cb93c2d1c7f","552.0",STANDARD
d727f898-bbf5-4b1e-b22d-35b9eca97abf,"693.0",STANDARD
"97160761-7ae2-45d5-944a-bf3396af8fc7","552.0",PREMIUM
a0af56fd-5917-4cd2-a4e3-7ef7a02f8364,"516.0",PREMIUM
"4730d254-6a11-48e7-8824-04bfc48a7dc2","630.0",STANDARD
"8930b3b0-9dca-4606-951d-b867783f53eb","575.0",PREMIUM
"7f0d8878-877e-4d1c-b8ee-08f38feeeb12","698.0",STANDARD
"7246ade7-4203-4bda-bf9e-f522d8294d1e","659.0",STANDARD
"132f15c6-54f2-4d2a-9a70-fa6a054ea3fa","622.0",STANDARD
e8dcf4b9-60ea-4443-a176-9554ea897217,"564.0",STANDARD
b043ef3b-c22d-45ef-ae84-0d97f6d09a12,"523.0",STANDARD
"6630f4d0-3cc5-44bc-b161-3483dfa3c445","542.0",PREMIUM
"3c435e1b-f860-40ed-8fe7-9909565bda65","572.0",STANDARD
f5d2e351-db8d-484b-83d7-aa91ed15e664,"599.0",STANDARD
"790e74f7-6f91-4299-984f-808076283533","530.0",PREMIUM
"82515bad-788d-4ec5-8448-91091c5bb207","530.0",STANDARD
"07d47fbd-46cc-476b-9c3f-f3667dcab98d","596.0",STANDARD
"448fc71e-c2ed-465d-8894-28414e7cab2a","649.0",STANDARD
"21a3b77c-b397-4f4c-825b-e97ef2e604ec","587.0",STANDARD
"90824dc3-4bac-4004-bbe0-f6604180e781","577.0",STANDARD
"0ceda0f6-d96d-4446-9d27-ca117cbe74c6","659.0",PREMIUM
"302c925c-38d9-43ff-a427-e9e8d002e3e6","525.0",PREMIUM
"609f4b00-8eb6-4698-98f0-fb64898e43a3","609.0",PREMIUM
"73463b99-6aaa-4dfb-9981-a6988dce428e","670.0",STANDARD
c81ca839-3384-4fd4-b6ca-cd217c81f982,"699.0",STANDARD
"53f844f1-19ed-4574-bebe-d2c9e1fecf01","568.0",STANDARD
c663e534-6c89-4ae6-a93a-8059564da657,"641.0",STANDARD
"03f917a6-d909-4558-a24b-54c6cda39b65","641.0",PREMIUM
"5875174d-4251-47b6-b2ee-580410da4f1d","652.0",PREMIUM
"682cea43-aa3c-4357-bb6c-ae6925252cd1","638.0",PREMIUM
"7e55fb95-3ec5-4f4d-beea-17d627e627be","623.0",PREMIUM
"7d63575c-6029-4d27-8d51-8dd01ebb5b50","599.0",STANDARD
fb8fef09-48da-44ae-b92f-7d435d927b30,"499.0",STANDARD
