F_1,F_3,F_4,F_5,F_6,F_53,F_65,F_260,days_with_service
549.0,102.0,115.0,110.0,0.0,1.0,3.0,638.0,973.0
537.0,102.0,203.0,115.0,116.0,4.0,8.0,609.0,1064.0
659.0,302.0,506.0,0.0,0.0,2.0,0.0,700.0,365.0
529.0,102.0,203.0,101.0,116.0,8.0,10.0,559.0,274.0
586.0,115.0,104.0,101.0,506.0,4.0,0.0,676.0,609.0
654.0,116.0,506.0,0.0,0.0,9.0,0.0,681.0,426.0
502.0,102.0,203.0,101.0,115.0,1.0,6.0,608.0,2161.0
588.0,102.0,104.0,0.0,0.0,4.0,0.0,632.0,577.0
649.0,203.0,0.0,0.0,0.0,15.0,0.0,722.0,609.0
624.0,102.0,112.0,0.0,0.0,9.0,6.0,631.0,2041.0
641.0,506.0,302.0,0.0,0.0,4.0,0.0,703.0,0.0
572.0,102.0,203.0,115.0,0.0,1.0,7.0,637.0,2161.0
533.0,102.0,116.0,115.0,104.0,1.0,3.0,646.0,365.0
525.0,102.0,116.0,115.0,101.0,5.0,6.0,606.0,273.0
643.0,302.0,506.0,0.0,0.0,5.0,0.0,699.0,305.0
506.0,102.0,203.0,101.0,116.0,7.0,13.0,568.0,335.0
515.0,102.0,203.0,116.0,115.0,4.0,11.0,612.0,911.0
577.0,102.0,116.0,104.0,302.0,6.0,0.0,654.0,731.0
624.0,115.0,104.0,506.0,0.0,4.0,0.0,721.0,212.0
538.0,102.0,203.0,116.0,115.0,5.0,9.0,665.0,701.0
538.0,102.0,104.0,110.0,302.0,0.0,1.0,682.0,212.0
615.0,114.0,116.0,506.0,104.0,2.0,0.0,684.0,122.0
510.0,112.0,116.0,104.0,101.0,4.0,0.0,618.0,366.0
528.0,102.0,203.0,115.0,116.0,2.0,6.0,633.0,1003.0
647.0,112.0,114.0,302.0,0.0,7.0,0.0,631.0,61.0
682.0,104.0,0.0,0.0,0.0,8.0,0.0,670.0,214.0
523.0,102.0,203.0,112.0,101.0,10.0,5.0,526.0,396.0
518.0,102.0,115.0,104.0,0.0,1.0,3.0,680.0,273.0
572.0,203.0,101.0,104.0,0.0,6.0,0.0,681.0,30.0
584.0,115.0,104.0,506.0,302.0,3.0,0.0,710.0,518.0
598.0,102.0,203.0,112.0,0.0,4.0,4.0,594.0,243.0
665.0,112.0,302.0,0.0,0.0,4.0,0.0,651.0,1523.0
573.0,102.0,203.0,112.0,116.0,9.0,11.0,512.0,1066.0
569.0,102.0,203.0,112.0,302.0,6.0,5.0,675.0,1126.0
569.0,102.0,203.0,112.0,302.0,6.0,5.0,675.0,943.0
639.0,116.0,114.0,302.0,0.0,8.0,0.0,647.0,1372.0
632.0,112.0,0.0,0.0,0.0,10.0,0.0,645.0,182.0
677.0,116.0,0.0,0.0,0.0,23.0,0.0,655.0,581.0
627.0,112.0,506.0,302.0,104.0,3.0,0.0,687.0,1127.0
647.0,114.0,103.0,302.0,0.0,3.0,0.0,645.0,761.0
627.0,112.0,104.0,302.0,0.0,9.0,0.0,661.0,122.0
599.0,112.0,104.0,506.0,0.0,4.0,0.0,675.0,791.0
707.0,0.0,0.0,0.0,0.0,6.0,0.0,659.0,608.0
560.0,102.0,203.0,115.0,104.0,2.0,0.0,683.0,243.0
544.0,102.0,116.0,101.0,104.0,5.0,4.0,561.0,2160.0
572.0,102.0,116.0,112.0,104.0,9.0,1.0,612.0,153.0
521.0,102.0,203.0,112.0,101.0,4.0,2.0,523.0,2130.0
666.0,116.0,302.0,0.0,0.0,25.0,0.0,671.0,1185.0
522.0,104.0,112.0,116.0,101.0,11.0,2.0,609.0,577.0
522.0,102.0,203.0,104.0,115.0,1.0,3.0,700.0,884.0
522.0,102.0,203.0,104.0,115.0,1.0,3.0,700.0,884.0
583.0,112.0,101.0,116.0,302.0,11.0,0.0,634.0,395.0
548.0,102.0,116.0,104.0,0.0,6.0,0.0,628.0,1126.0
590.0,102.0,203.0,116.0,104.0,5.0,4.0,662.0,789.0
544.0,102.0,116.0,104.0,112.0,5.0,0.0,659.0,334.0
591.0,102.0,203.0,0.0,0.0,3.0,4.0,613.0,2099.0
570.0,102.0,112.0,116.0,104.0,3.0,5.0,603.0,1186.0
545.0,102.0,116.0,101.0,104.0,7.0,5.0,613.0,365.0
545.0,102.0,116.0,101.0,104.0,7.0,5.0,613.0,31.0
517.0,102.0,101.0,116.0,104.0,4.0,6.0,600.0,516.0
521.0,102.0,116.0,112.0,101.0,10.0,5.0,578.0,1004.0
533.0,102.0,116.0,101.0,104.0,12.0,10.0,552.0,761.0
533.0,102.0,116.0,101.0,104.0,12.0,10.0,552.0,791.0
533.0,102.0,116.0,101.0,104.0,12.0,10.0,552.0,396.0
567.0,102.0,116.0,112.0,104.0,3.0,1.0,601.0,550.0
609.0,102.0,116.0,0.0,0.0,2.0,4.0,605.0,2161.0
535.0,102.0,203.0,116.0,115.0,6.0,11.0,605.0,1096.0
535.0,102.0,203.0,116.0,115.0,6.0,11.0,605.0,700.0
535.0,102.0,203.0,116.0,115.0,6.0,11.0,605.0,761.0
539.0,102.0,203.0,116.0,104.0,4.0,10.0,572.0,426.0
606.0,112.0,116.0,101.0,0.0,17.0,0.0,566.0,242.0
565.0,102.0,203.0,116.0,101.0,4.0,6.0,606.0,276.0
665.0,112.0,302.0,0.0,0.0,10.0,0.0,648.0,426.0
652.0,112.0,116.0,0.0,0.0,16.0,0.0,600.0,1492.0
511.0,102.0,203.0,101.0,116.0,2.0,11.0,547.0,669.0
629.0,112.0,116.0,114.0,302.0,11.0,0.0,627.0,426.0
589.0,115.0,104.0,302.0,506.0,4.0,0.0,684.0,699.0
601.0,112.0,506.0,104.0,0.0,3.0,0.0,651.0,243.0
681.0,112.0,0.0,0.0,0.0,11.0,0.0,692.0,1188.0
561.0,102.0,116.0,112.0,0.0,7.0,1.0,623.0,181.0
623.0,104.0,302.0,506.0,0.0,6.0,0.0,691.0,212.0
579.0,104.0,101.0,506.0,115.0,3.0,0.0,692.0,90.0
645.0,506.0,302.0,0.0,0.0,10.0,0.0,712.0,334.0
598.0,102.0,115.0,0.0,0.0,1.0,0.0,688.0,550.0
567.0,102.0,203.0,116.0,101.0,17.0,8.0,622.0,913.0
521.0,102.0,104.0,112.0,116.0,0.0,5.0,594.0,426.0
605.0,112.0,110.0,506.0,302.0,12.0,0.0,623.0,639.0
564.0,102.0,112.0,104.0,302.0,2.0,2.0,611.0,243.0
688.0,302.0,0.0,0.0,0.0,8.0,0.0,719.0,150.0
650.0,302.0,506.0,0.0,0.0,6.0,0.0,685.0,761.0
620.0,104.0,506.0,0.0,0.0,12.0,0.0,687.0,792.0
593.0,116.0,112.0,104.0,114.0,25.0,0.0,647.0,90.0
528.0,102.0,203.0,101.0,116.0,8.0,8.0,547.0,761.0
524.0,102.0,203.0,101.0,115.0,3.0,9.0,580.0,577.0
523.0,102.0,116.0,101.0,104.0,8.0,10.0,604.0,1583.0
669.0,116.0,0.0,0.0,0.0,13.0,0.0,686.0,638.0
677.0,302.0,0.0,0.0,0.0,11.0,0.0,712.0,702.0
658.0,112.0,104.0,0.0,0.0,12.0,0.0,648.0,883.0
596.0,112.0,114.0,302.0,506.0,10.0,0.0,620.0,426.0
653.0,112.0,302.0,0.0,0.0,9.0,0.0,658.0,730.0
622.0,104.0,506.0,302.0,115.0,5.0,0.0,693.0,212.0
639.0,104.0,116.0,302.0,0.0,12.0,0.0,697.0,548.0
627.0,112.0,302.0,506.0,0.0,3.0,0.0,692.0,731.0
587.0,102.0,104.0,0.0,0.0,7.0,0.0,591.0,1461.0
640.0,112.0,116.0,302.0,0.0,9.0,0.0,626.0,335.0
640.0,112.0,116.0,302.0,0.0,9.0,0.0,626.0,426.0
546.0,102.0,203.0,104.0,116.0,4.0,7.0,670.0,181.0
675.0,101.0,302.0,0.0,0.0,12.0,0.0,639.0,670.0
516.0,102.0,203.0,116.0,115.0,5.0,6.0,624.0,608.0
520.0,102.0,101.0,116.0,104.0,4.0,7.0,636.0,1369.0
627.0,112.0,114.0,302.0,104.0,7.0,0.0,642.0,366.0
537.0,102.0,116.0,112.0,104.0,5.0,1.0,636.0,273.0
651.0,104.0,506.0,0.0,0.0,4.0,0.0,699.0,1369.0
636.0,112.0,114.0,506.0,0.0,8.0,0.0,624.0,791.0
624.0,112.0,116.0,302.0,0.0,8.0,0.0,640.0,92.0
610.0,104.0,116.0,114.0,506.0,5.0,0.0,672.0,153.0
633.0,112.0,104.0,0.0,0.0,8.0,0.0,665.0,396.0
674.0,112.0,114.0,0.0,0.0,10.0,0.0,619.0,457.0
644.0,112.0,302.0,0.0,0.0,4.0,0.0,680.0,334.0
649.0,506.0,302.0,0.0,0.0,8.0,0.0,693.0,700.0
638.0,116.0,104.0,506.0,0.0,6.0,0.0,708.0,731.0
602.0,116.0,104.0,506.0,302.0,13.0,0.0,610.0,335.0
640.0,114.0,506.0,0.0,0.0,4.0,0.0,670.0,549.0
562.0,116.0,115.0,104.0,506.0,3.0,0.0,723.0,153.0
653.0,506.0,0.0,0.0,0.0,5.0,0.0,692.0,397.0
703.0,0.0,0.0,0.0,0.0,5.0,0.0,704.0,396.0
558.0,102.0,116.0,104.0,0.0,3.0,7.0,619.0,547.0
675.0,104.0,302.0,0.0,0.0,6.0,0.0,737.0,608.0
589.0,102.0,203.0,0.0,0.0,4.0,7.0,609.0,1734.0
686.0,116.0,0.0,0.0,0.0,10.0,0.0,740.0,1065.0
641.0,112.0,101.0,114.0,0.0,7.0,0.0,670.0,395.0
713.0,0.0,0.0,0.0,0.0,9.0,0.0,718.0,608.0
563.0,104.0,115.0,302.0,506.0,6.0,0.0,694.0,334.0
646.0,115.0,104.0,0.0,0.0,2.0,0.0,687.0,699.0
575.0,112.0,116.0,101.0,506.0,10.0,0.0,597.0,547.0
540.0,102.0,116.0,101.0,104.0,4.0,8.0,626.0,518.0
649.0,112.0,114.0,0.0,0.0,9.0,0.0,578.0,760.0
633.0,112.0,114.0,302.0,0.0,12.0,0.0,656.0,607.0
681.0,0.0,0.0,0.0,0.0,9.0,0.0,647.0,1308.0
593.0,102.0,0.0,0.0,0.0,5.0,6.0,645.0,731.0
529.0,102.0,203.0,116.0,115.0,2.0,13.0,605.0,974.0
617.0,112.0,116.0,114.0,110.0,10.0,0.0,598.0,546.0
492.0,102.0,116.0,104.0,115.0,1.0,5.0,594.0,0.0
511.0,102.0,115.0,104.0,116.0,3.0,6.0,606.0,730.0
564.0,102.0,116.0,104.0,0.0,15.0,31.0,631.0,487.0
564.0,102.0,116.0,104.0,0.0,15.0,31.0,631.0,549.0
564.0,102.0,116.0,104.0,0.0,15.0,31.0,631.0,549.0
564.0,102.0,116.0,104.0,0.0,15.0,31.0,631.0,1370.0
549.0,102.0,104.0,112.0,0.0,4.0,5.0,579.0,1065.0
541.0,102.0,203.0,116.0,115.0,2.0,6.0,669.0,884.0
555.0,102.0,203.0,116.0,104.0,12.0,4.0,590.0,150.0
520.0,102.0,116.0,115.0,104.0,6.0,16.0,616.0,454.0
545.0,102.0,203.0,116.0,104.0,4.0,6.0,579.0,334.0
527.0,102.0,116.0,115.0,101.0,5.0,6.0,593.0,0.0
521.0,102.0,203.0,112.0,116.0,3.0,4.0,568.0,668.0
571.0,102.0,116.0,101.0,0.0,8.0,4.0,635.0,578.0
698.0,506.0,0.0,0.0,0.0,5.0,0.0,762.0,1004.0
610.0,102.0,302.0,0.0,0.0,3.0,0.0,701.0,1523.0
689.0,104.0,0.0,0.0,0.0,3.0,0.0,726.0,548.0
625.0,116.0,114.0,506.0,0.0,3.0,0.0,723.0,608.0
613.0,104.0,114.0,506.0,0.0,4.0,0.0,667.0,1067.0
678.0,506.0,302.0,0.0,0.0,7.0,0.0,733.0,669.0
649.0,112.0,0.0,0.0,0.0,6.0,0.0,687.0,731.0
557.0,102.0,115.0,104.0,0.0,2.0,2.0,672.0,1614.0
640.0,115.0,302.0,0.0,0.0,5.0,0.0,665.0,639.0
509.0,102.0,116.0,101.0,115.0,6.0,0.0,594.0,1065.0
687.0,0.0,0.0,0.0,0.0,18.0,0.0,670.0,274.0
627.0,104.0,506.0,302.0,0.0,9.0,0.0,686.0,487.0
692.0,0.0,0.0,0.0,0.0,6.0,0.0,715.0,30.0
538.0,102.0,203.0,104.0,0.0,2.0,5.0,614.0,1522.0
532.0,102.0,203.0,101.0,116.0,7.0,22.0,545.0,1341.0
532.0,102.0,203.0,101.0,116.0,7.0,22.0,545.0,1249.0
544.0,102.0,116.0,104.0,0.0,3.0,12.0,573.0,212.0
504.0,102.0,203.0,116.0,104.0,1.0,2.0,666.0,1249.0
513.0,102.0,203.0,101.0,112.0,6.0,6.0,575.0,153.0
513.0,102.0,203.0,101.0,112.0,6.0,6.0,575.0,395.0
669.0,0.0,0.0,0.0,0.0,10.0,0.0,672.0,1308.0
555.0,102.0,203.0,112.0,116.0,6.0,4.0,559.0,1308.0
561.0,112.0,116.0,101.0,114.0,9.0,0.0,613.0,546.0
584.0,102.0,116.0,0.0,0.0,5.0,8.0,654.0,2163.0
617.0,112.0,114.0,506.0,0.0,7.0,0.0,686.0,0.0
594.0,115.0,104.0,302.0,506.0,2.0,0.0,687.0,61.0
698.0,104.0,0.0,0.0,0.0,9.0,0.0,736.0,699.0
632.0,104.0,506.0,302.0,0.0,8.0,0.0,724.0,731.0
636.0,116.0,101.0,506.0,0.0,7.0,0.0,666.0,731.0
572.0,102.0,203.0,115.0,0.0,2.0,4.0,652.0,1673.0
536.0,102.0,116.0,101.0,112.0,13.0,1.0,559.0,334.0
665.0,302.0,0.0,0.0,0.0,9.0,0.0,675.0,700.0
695.0,0.0,0.0,0.0,0.0,6.0,0.0,695.0,1124.0
656.0,112.0,0.0,0.0,0.0,3.0,0.0,666.0,458.0
543.0,116.0,112.0,104.0,101.0,6.0,0.0,676.0,243.0
647.0,302.0,506.0,0.0,0.0,5.0,0.0,678.0,577.0
688.0,0.0,0.0,0.0,0.0,6.0,0.0,726.0,669.0
602.0,102.0,203.0,0.0,0.0,3.0,5.0,671.0,2161.0
541.0,102.0,116.0,101.0,104.0,8.0,2.0,617.0,61.0
555.0,102.0,116.0,104.0,0.0,4.0,10.0,639.0,1095.0
536.0,102.0,203.0,116.0,101.0,11.0,6.0,607.0,607.0
605.0,102.0,0.0,0.0,0.0,9.0,0.0,646.0,639.0
648.0,114.0,0.0,0.0,0.0,9.0,0.0,662.0,457.0
677.0,302.0,0.0,0.0,0.0,7.0,0.0,704.0,0.0
629.0,302.0,104.0,506.0,0.0,6.0,0.0,667.0,668.0
546.0,102.0,203.0,116.0,101.0,11.0,2.0,610.0,822.0
558.0,104.0,302.0,506.0,0.0,6.0,0.0,646.0,28.0
691.0,302.0,0.0,0.0,0.0,8.0,0.0,709.0,915.0
637.0,116.0,506.0,0.0,0.0,8.0,0.0,667.0,122.0
585.0,102.0,112.0,0.0,0.0,8.0,3.0,626.0,2160.0
670.0,104.0,114.0,0.0,0.0,11.0,0.0,711.0,1065.0
660.0,112.0,0.0,0.0,0.0,12.0,0.0,630.0,396.0
508.0,102.0,116.0,101.0,112.0,7.0,10.0,560.0,638.0
669.0,114.0,302.0,0.0,0.0,11.0,0.0,719.0,212.0
554.0,102.0,203.0,115.0,110.0,1.0,2.0,633.0,1736.0
660.0,112.0,0.0,0.0,0.0,8.0,0.0,612.0,1430.0
653.0,116.0,302.0,0.0,0.0,10.0,0.0,708.0,335.0
518.0,102.0,115.0,104.0,116.0,2.0,0.0,627.0,1158.0
566.0,102.0,116.0,112.0,104.0,11.0,5.0,571.0,457.0
573.0,112.0,116.0,506.0,302.0,8.0,0.0,661.0,153.0
535.0,112.0,116.0,104.0,101.0,9.0,0.0,616.0,0.0
624.0,116.0,114.0,302.0,0.0,8.0,0.0,708.0,92.0
541.0,102.0,104.0,110.0,0.0,0.0,2.0,654.0,912.0
523.0,102.0,116.0,104.0,101.0,6.0,3.0,618.0,184.0
695.0,0.0,0.0,0.0,0.0,8.0,0.0,719.0,1461.0
524.0,102.0,203.0,116.0,104.0,3.0,4.0,601.0,822.0
522.0,102.0,203.0,104.0,115.0,2.0,8.0,597.0,516.0
597.0,102.0,203.0,112.0,0.0,8.0,1.0,631.0,641.0
659.0,104.0,0.0,0.0,0.0,6.0,0.0,713.0,275.0
664.0,114.0,302.0,0.0,0.0,3.0,0.0,659.0,1096.0
693.0,0.0,0.0,0.0,0.0,15.0,0.0,655.0,90.0
613.0,112.0,101.0,103.0,116.0,7.0,3.0,589.0,731.0
582.0,112.0,104.0,506.0,0.0,8.0,0.0,630.0,183.0
641.0,114.0,506.0,302.0,0.0,6.0,0.0,710.0,1006.0
553.0,102.0,203.0,115.0,104.0,1.0,4.0,552.0,242.0
653.0,101.0,302.0,0.0,0.0,9.0,0.0,693.0,486.0
663.0,112.0,302.0,0.0,0.0,9.0,0.0,652.0,578.0
685.0,112.0,0.0,0.0,0.0,11.0,0.0,650.0,485.0
653.0,302.0,115.0,0.0,0.0,4.0,0.0,704.0,92.0
557.0,102.0,203.0,112.0,116.0,5.0,6.0,570.0,1918.0
557.0,102.0,203.0,112.0,116.0,5.0,6.0,570.0,2160.0
503.0,102.0,116.0,115.0,101.0,4.0,9.0,644.0,426.0
543.0,102.0,112.0,116.0,104.0,1.0,1.0,603.0,335.0
586.0,114.0,104.0,302.0,506.0,3.0,0.0,675.0,455.0
568.0,102.0,110.0,116.0,0.0,8.0,4.0,614.0,396.0
632.0,112.0,506.0,302.0,0.0,5.0,0.0,659.0,153.0
574.0,112.0,116.0,101.0,302.0,5.0,0.0,622.0,273.0
533.0,102.0,101.0,116.0,104.0,2.0,1.0,670.0,396.0
572.0,115.0,104.0,110.0,506.0,3.0,0.0,661.0,0.0
631.0,102.0,0.0,0.0,0.0,6.0,1.0,664.0,1034.0
656.0,101.0,114.0,0.0,0.0,11.0,0.0,645.0,92.0
566.0,102.0,115.0,0.0,0.0,2.0,1.0,624.0,730.0
607.0,102.0,0.0,0.0,0.0,5.0,1.0,654.0,2161.0
699.0,0.0,0.0,0.0,0.0,6.0,0.0,721.0,823.0
664.0,302.0,0.0,0.0,0.0,4.0,0.0,679.0,730.0
511.0,102.0,203.0,116.0,115.0,2.0,4.0,622.0,304.0
511.0,102.0,203.0,116.0,115.0,2.0,4.0,622.0,516.0
600.0,102.0,203.0,101.0,0.0,10.0,3.0,591.0,1096.0
600.0,102.0,203.0,101.0,0.0,10.0,3.0,591.0,731.0
587.0,102.0,302.0,0.0,0.0,5.0,0.0,695.0,912.0
619.0,112.0,506.0,302.0,0.0,3.0,0.0,685.0,611.0
586.0,102.0,115.0,302.0,0.0,2.0,7.0,633.0,2069.0
541.0,112.0,116.0,101.0,104.0,11.0,0.0,594.0,31.0
652.0,506.0,0.0,0.0,0.0,7.0,0.0,669.0,61.0
617.0,112.0,116.0,103.0,302.0,13.0,0.0,630.0,120.0
505.0,102.0,203.0,116.0,115.0,0.0,5.0,598.0,914.0
611.0,102.0,101.0,0.0,0.0,11.0,0.0,637.0,853.0
630.0,112.0,116.0,114.0,0.0,9.0,0.0,614.0,184.0
668.0,302.0,0.0,0.0,0.0,4.0,0.0,722.0,0.0
554.0,102.0,116.0,0.0,0.0,2.0,5.0,636.0,791.0
554.0,102.0,116.0,0.0,0.0,2.0,5.0,636.0,821.0
503.0,102.0,203.0,101.0,116.0,11.0,18.0,583.0,485.0
503.0,102.0,203.0,101.0,116.0,11.0,18.0,583.0,1946.0
554.0,104.0,114.0,506.0,302.0,3.0,0.0,668.0,214.0
525.0,102.0,116.0,115.0,104.0,1.0,5.0,662.0,487.0
529.0,102.0,203.0,116.0,115.0,3.0,9.0,545.0,1341.0
553.0,102.0,116.0,104.0,0.0,10.0,17.0,585.0,730.0
553.0,102.0,116.0,104.0,0.0,10.0,17.0,585.0,639.0
631.0,116.0,114.0,302.0,0.0,9.0,0.0,713.0,214.0
631.0,116.0,114.0,302.0,0.0,9.0,0.0,713.0,366.0
591.0,102.0,112.0,0.0,0.0,6.0,0.0,633.0,1979.0
644.0,112.0,302.0,0.0,0.0,9.0,0.0,603.0,212.0
612.0,102.0,0.0,0.0,0.0,5.0,2.0,667.0,2131.0
623.0,112.0,114.0,302.0,0.0,7.0,0.0,624.0,427.0
646.0,112.0,506.0,302.0,0.0,6.0,0.0,671.0,518.0
649.0,302.0,506.0,0.0,0.0,4.0,0.0,702.0,731.0
656.0,112.0,104.0,0.0,0.0,9.0,0.0,655.0,1308.0
542.0,102.0,203.0,116.0,104.0,6.0,8.0,570.0,487.0
539.0,102.0,203.0,116.0,115.0,5.0,7.0,657.0,578.0
502.0,102.0,203.0,116.0,115.0,6.0,5.0,597.0,1826.0
490.0,102.0,101.0,116.0,115.0,3.0,2.0,617.0,365.0
654.0,112.0,0.0,0.0,0.0,8.0,0.0,692.0,762.0
654.0,112.0,0.0,0.0,0.0,8.0,0.0,692.0,730.0
651.0,116.0,0.0,0.0,0.0,8.0,0.0,675.0,61.0
554.0,101.0,104.0,116.0,114.0,3.0,0.0,669.0,1218.0
643.0,112.0,506.0,0.0,0.0,14.0,0.0,623.0,577.0
633.0,115.0,506.0,0.0,0.0,6.0,0.0,702.0,61.0
644.0,112.0,302.0,0.0,0.0,5.0,0.0,613.0,212.0
543.0,102.0,203.0,116.0,115.0,4.0,7.0,636.0,640.0
699.0,0.0,0.0,0.0,0.0,15.0,0.0,707.0,731.0
687.0,0.0,0.0,0.0,0.0,15.0,0.0,656.0,0.0
627.0,112.0,101.0,116.0,0.0,12.0,0.0,682.0,396.0
709.0,0.0,0.0,0.0,0.0,8.0,0.0,707.0,365.0
651.0,116.0,0.0,0.0,0.0,8.0,0.0,683.0,1613.0
683.0,0.0,0.0,0.0,0.0,12.0,0.0,731.0,306.0
669.0,115.0,0.0,0.0,0.0,5.0,0.0,668.0,90.0
558.0,102.0,203.0,116.0,104.0,4.0,2.0,665.0,1826.0
678.0,0.0,0.0,0.0,0.0,9.0,0.0,706.0,702.0
652.0,116.0,506.0,0.0,0.0,11.0,0.0,639.0,1399.0
656.0,112.0,116.0,0.0,0.0,11.0,0.0,642.0,91.0
681.0,302.0,0.0,0.0,0.0,7.0,0.0,687.0,243.0
643.0,506.0,302.0,0.0,0.0,12.0,0.0,679.0,518.0
562.0,112.0,116.0,104.0,114.0,10.0,0.0,631.0,243.0
645.0,112.0,116.0,0.0,0.0,6.0,0.0,670.0,395.0
697.0,104.0,0.0,0.0,0.0,10.0,0.0,698.0,457.0
689.0,116.0,0.0,0.0,0.0,12.0,0.0,707.0,365.0
598.0,112.0,101.0,506.0,0.0,6.0,0.0,663.0,731.0
691.0,302.0,0.0,0.0,0.0,4.0,0.0,701.0,306.0
668.0,506.0,302.0,0.0,0.0,8.0,0.0,713.0,183.0
519.0,102.0,203.0,101.0,116.0,2.0,10.0,587.0,731.0
512.0,102.0,101.0,116.0,115.0,3.0,8.0,628.0,242.0
534.0,102.0,115.0,104.0,116.0,2.0,3.0,622.0,1977.0
536.0,102.0,203.0,115.0,116.0,2.0,13.0,528.0,1461.0
689.0,104.0,0.0,0.0,0.0,11.0,0.0,631.0,212.0
526.0,102.0,203.0,116.0,104.0,4.0,7.0,617.0,911.0
584.0,102.0,116.0,112.0,104.0,13.0,2.0,557.0,30.0
552.0,102.0,203.0,116.0,101.0,14.0,0.0,590.0,31.0
499.0,102.0,104.0,116.0,115.0,2.0,4.0,674.0,395.0
562.0,102.0,203.0,116.0,104.0,3.0,6.0,635.0,1583.0
539.0,116.0,104.0,115.0,302.0,3.0,0.0,718.0,547.0
520.0,102.0,203.0,101.0,112.0,3.0,9.0,545.0,669.0
601.0,112.0,302.0,506.0,0.0,6.0,0.0,638.0,153.0
545.0,102.0,112.0,116.0,115.0,4.0,4.0,665.0,397.0
577.0,112.0,116.0,104.0,506.0,13.0,0.0,622.0,31.0
561.0,102.0,116.0,112.0,302.0,5.0,2.0,626.0,1431.0
593.0,102.0,116.0,112.0,104.0,8.0,1.0,602.0,455.0
562.0,112.0,101.0,103.0,114.0,7.0,1.0,632.0,546.0
572.0,102.0,115.0,0.0,0.0,1.0,8.0,647.0,2161.0
562.0,102.0,203.0,116.0,112.0,10.0,13.0,574.0,1489.0
545.0,102.0,203.0,116.0,0.0,6.0,7.0,600.0,762.0
576.0,102.0,104.0,0.0,0.0,4.0,0.0,661.0,608.0
525.0,102.0,101.0,116.0,115.0,4.0,4.0,600.0,31.0
594.0,104.0,101.0,114.0,506.0,8.0,0.0,706.0,245.0
560.0,102.0,116.0,104.0,112.0,8.0,5.0,589.0,580.0
568.0,102.0,112.0,0.0,0.0,9.0,2.0,598.0,59.0
713.0,0.0,0.0,0.0,0.0,7.0,0.0,732.0,456.0
703.0,101.0,0.0,0.0,0.0,5.0,0.0,690.0,305.0
642.0,506.0,302.0,0.0,0.0,4.0,0.0,710.0,1308.0
661.0,302.0,0.0,0.0,0.0,9.0,0.0,663.0,242.0
643.0,302.0,506.0,104.0,0.0,4.0,0.0,717.0,153.0
662.0,112.0,506.0,0.0,0.0,8.0,0.0,719.0,487.0
557.0,112.0,116.0,104.0,506.0,15.0,0.0,644.0,0.0
